PERMNO,date,TICKER,TRDSTAT,PRC,RET,SHROUT,sprtrn
64653,20160129,PSA,A,253.56,0.023658,173156,-0.050735
64653,20160229,PSA,A,249.49001,-0.016051,173269,-0.004128
64653,20160331,PSA,A,275.82999,0.112389,173148,0.065991
64653,20160429,PSA,A,244.81,-0.112461,173079,0.002699
64653,20160531,PSA,A,253.71001,0.036355,173382,0.015329
64653,20160630,PSA,A,255.59,0.014505,173382,0.000906
64653,20160729,PSA,A,238.92,-0.065222,173382,0.03561
64653,20160831,PSA,A,223.94,-0.062699,173401,-0.001219
64653,20160930,PSA,A,223.14,0.004465,173401,-0.001234
64653,20161031,PSA,A,213.72,-0.042216,173137,-0.019426
64653,20161130,PSA,A,209.3,-0.020681,173440,0.034174
64653,20161230,PSA,A,223.5,0.077401,173440,0.018201
64653,20170131,PSA,A,215,-0.038031,173440,0.017884
64653,20170228,PSA,A,227.46001,0.057954,173289,0.037198
64653,20170331,PSA,A,218.91,-0.028796,173507,-0.000389
64653,20170428,PSA,A,209.38,-0.043534,173543,0.009091
64653,20170531,PSA,A,215.35001,0.028513,173846,0.011576
64653,20170630,PSA,A,208.53,-0.022382,173846,0.004814
64653,20170731,PSA,A,205.57001,-0.014195,174003,0.019349
64653,20170831,PSA,A,205.34,-0.001119,174003,0.000546
64653,20170929,PSA,A,213.99001,0.051865,174003,0.019303
64653,20171031,PSA,A,207.25,-0.031497,173739,0.022188
64653,20171130,PSA,A,213.12,0.028323,174041,0.028083
64653,20171229,PSA,A,209,-0.009947,174041,0.009832
64653,20180131,PSA,A,195.75999,-0.063349,174041,0.056179
64653,20180228,PSA,A,194.44,-0.006743,174041,-0.038947
64653,20180329,PSA,A,200.39,0.040887,174085,-0.026885
64653,20180430,PSA,A,201.78,0.006936,173928,0.002719
64653,20180531,PSA,A,211.84,0.049856,174229,0.021608
64653,20180629,PSA,A,226.86,0.080344,174229,0.004842
64653,20180731,PSA,A,217.83,-0.039804,174229,0.036022
64653,20180831,PSA,A,212.58,-0.024101,174240,0.030263
64653,20180928,PSA,A,201.63,-0.042102,174240,0.004294
64653,20181031,PSA,A,205.47,0.019045,174364,-0.069403
